X	Y	Shorten_num	Lengthen_num	Others
ACC	BRAF	732	108	7020
ACC	PABPN1	270	1737	5853
ACC	CPSF6	693	156	7011
ACC	PPP1CB	22	42	7796
ACC	RBBP6	34	12	7814
ACC	CPSF3	120	153	7587
ACC	PPP1CA	130	321	7409
ACC	PCF11	23	11	7826
ACC	NUDT21	437	34	7389
ACC	PABPC1	34	3	7823
ACC	CSTF3	19	121	7720
ACC	CPSF7	69	12	7779
ACC	CPSF4	101	97	7662
ACC	PAPOLG	29	9	7822
ACC	CPSF1	60	113	7687
ACC	PABPC4	55	10	7795
ACC	WDR33	60	43	7757
ACC	SYMPK	88	30	7742
ACC	CSTF2T	689	124	7047
ACC	FIP1L1	521	237	7102
ACC	CPSF2	743	106	7011
ACC	CSTF2	1208	108	6544
ACC	CSTF1	343	42	7475
BLCA	BRAF	1414	405	7071
BLCA	PABPN1	192	1477	7221
BLCA	CPSF6	1349	475	7066
BLCA	PPP1CB	943	200	7747
BLCA	RBBP6	934	366	7590
BLCA	CPSF3	97	14	8779
BLCA	PPP1CA	244	70	8576
BLCA	PCF11	65	131	8694
BLCA	NUDT21	2008	430	6452
BLCA	PABPC1	22	112	8756
BLCA	CSTF3	12	37	8841
BLCA	CPSF7	29	77	8784
BLCA	CPSF4	280	505	8105
BLCA	PAPOLG	1511	552	6827
BLCA	CPSF1	24	195	8671
BLCA	PABPC4	18	32	8840
BLCA	WDR33	9	27	8854
BLCA	SYMPK	222	705	7963
BLCA	CSTF2T	109	16	8765
BLCA	FIP1L1	2119	300	6471
BLCA	CPSF2	1589	190	7111
BLCA	CSTF2	1653	131	7106
BLCA	CSTF1	45	13	8832
BRCA	BRAF	2364	590	7317
BRCA	PABPN1	568	3048	6655
BRCA	CPSF6	2444	591	7236
BRCA	PPP1CB	424	149	9698
BRCA	RBBP6	2340	671	7260
BRCA	CPSF3	104	62	10105
BRCA	PPP1CA	80	306	9885
BRCA	PCF11	2428	321	7522
BRCA	NUDT21	2405	491	7375
BRCA	PABPC1	700	131	9440
BRCA	CSTF3	64	237	9970
BRCA	CPSF7	363	248	9660
BRCA	CPSF4	309	1686	8276
BRCA	PAPOLG	2477	429	7365
BRCA	CPSF1	465	719	9087
BRCA	PABPC4	56	237	9978
BRCA	WDR33	34	54	10183
BRCA	SYMPK	392	221	9658
BRCA	CSTF2T	41	71	10159
BRCA	FIP1L1	1502	312	8457
BRCA	CPSF2	2278	188	7805
